epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4779,1.53627,4.44612,1.37724,0.68476,0.04126,0.05095,0.03394,1.38931,3.45541,1.36099,5.34087e-05,5.34087e-05,5.34087e-05
2,92.6969,1.40501,2.78781,1.2588,0.51617,0.14559,0.14043,0.09361,1.3672,2.51293,1.31053,0.000104955,0.000104955,0.000104955
3,137.139,1.33173,2.14631,1.20919,0.5782,0.23348,0.21482,0.1414,1.38968,2.04954,1.29907,0.000154377,0.000154377,0.000154377
4,180.961,1.26938,1.76508,1.18382,0.60696,0.24928,0.27054,0.18685,1.29853,1.76785,1.26031,0.000151437,0.000151437,0.000151437
5,225.296,1.22659,1.62433,1.16044,0.66773,0.25799,0.30179,0.21137,1.31414,1.68821,1.27249,0.000148249,0.000148249,0.000148249
6,269.521,1.18418,1.50714,1.141,0.63603,0.31829,0.3386,0.22978,1.30699,1.5325,1.26878,0.000145061,0.000145061,0.000145061
7,315.364,1.15252,1.43037,1.12815,0.55405,0.35354,0.36857,0.25623,1.26467,1.49164,1.23494,0.000141873,0.000141873,0.000141873
8,363.226,1.1265,1.3382,1.10592,0.57036,0.38629,0.39882,0.27755,1.23853,1.43647,1.21742,0.000138685,0.000138685,0.000138685
9,409.473,1.10437,1.28069,1.09526,0.63818,0.38726,0.42267,0.28966,1.26474,1.33212,1.23562,0.000135498,0.000135498,0.000135498
10,454.491,1.0932,1.25992,1.0937,0.69844,0.3737,0.44006,0.30804,1.22253,1.33874,1.22033,0.00013231,0.00013231,0.00013231
11,499.393,1.07954,1.2026,1.07827,0.61507,0.44003,0.44846,0.30969,1.2476,1.27968,1.22352,0.000129122,0.000129122,0.000129122
12,544.685,1.05146,1.17217,1.06806,0.65662,0.43712,0.47225,0.34008,1.21863,1.2819,1.20459,0.000125934,0.000125934,0.000125934
13,589.89,1.05169,1.1401,1.06496,0.68361,0.45629,0.49792,0.35357,1.20008,1.17094,1.19366,0.000122746,0.000122746,0.000122746
14,635.564,1.0309,1.10144,1.05187,0.65181,0.45421,0.49385,0.34527,1.20754,1.20246,1.19925,0.000119559,0.000119559,0.000119559
15,681.168,1.03332,1.09626,1.05075,0.70775,0.44523,0.53585,0.37859,1.19514,1.18214,1.19214,0.000116371,0.000116371,0.000116371
